Movie name,Description,Genre
Whiplash,"  direction   ruthless instructor,  talented young drummer begins  pursue perfection   cost, even  humanity.","Drama, Music"
Se7en,"two homicide detectives    desperate hunt   serial killer whose crimes  based   ""seven deadly sins""   dark  haunting film  takes viewers   tortured remains  one victim   next.  seasoned det. somerset researches  sin   effort  get inside  killer's mind,   novice partner, mills, scores   efforts  unravel  case.","Crime, Mystery, Thriller"
Gabriel's Inferno: Part III, final part   film adaption   erotic romance novel gabriel's inferno written   anonymous canadian author   pen name slain regard.,"Romance, Drama"
Gabriel's Inferno: Part II,"professor gabriel emerson finally learns  truth  julia mitchell's identity,   realization comes  moment  late. julia  done waiting   well-respected date specialist  remember   wants nothing     him.  gabriel win back  heart   finds love  another's arms?","Romance, Drama"
Inception,"cbb,  skilled thief  commits corporate espionage  infiltrating  subconscious   targets  offered  chance  regain  old life  payment   task considered   impossible: ""inception"",  implantation  another person's idea   target's subconscious.","Action, Science Fiction, Adventure"
Radical,"  mexican border town plagued  neglect, corruption,  violence,  frustrated teacher tries  unorthodox new method  break   students’ apathy  unlock  curiosity,  potential...  perhaps even  genius.",Drama
Rear Window, wheelchair-bound photographer spies   neighbors   apartment window  becomes convinced one    committed murder.,"Thriller, Mystery"
The Silence of the Lambs,"clarify starling   top student   fbi's training academy. jack crawford wants clarify  interview dr. cannibal letter,  brilliant psychiatrist   also  violent psychopath, serving life behind bars  various acts  murder  cannibalism. crawford believes  letter may  insight   case   starling,   attractive young woman, may    bait  draw  out.","Crime, Thriller, Drama"
Spider-Man: Across the Spider-Verse," reuniting  gwen stay, brooklyn’s full-time, friendly neighborhood spider-man  catapult across  multiverse,   encounters  spider society,  team  spider-people charged  protecting  multiverse’s  existence.    heroes clash    handle  new threat, miles finds  pitted    spiders  must set      save   loves most.","Animation, Action, Adventure, Science Fiction"
High and Low,"  midst   attempt  take   company,  powerhouse executive  hit   huge ransom demand   chauffeur's son  kidnapped  mistake.","Drama, Crime, Thriller"
The Legend of Hei," cat spirit lu xiaohei's home  forested  humans,  must find  new one.  runs   group   spirit creatures  take    wing  dreams  conquering  land  say  rightfully theirs. however,  run   human known  julian  separates lu xiaohei    spirits   two go   journey,   cat spirit learning  control  abilities  well  forming   thoughts  whether     ally   spirits   humans.","Animation, Fantasy, Action"
American History X,"derek vineyard  paroled  serving 3 years  prison  killing two african-american men.   brother, danny vineyard's narration,  learn   going  prison, derek   skinned   leader   violent white supremacist gang  committed acts  racial crime throughout l.a.   actions greatly influenced danny. reformed  fresh   prison, derek severe contact   gang  becomes determined  keep danny  going    violent path   did.",Drama
The Quintessential Quintuplets Movie," five lovely young girls  hate studying hire part-time tutor futuro,  guides    education  also  hearts. time spent  brought   closer,  feelings growing within  girls  futuro.   finish  third year  high school   last school festival approaches,  set  sights  what’s next.    future  one    futuro?","Animation, Comedy, Romance"
Dou kyu sei – Classmates,"rito sao,  honor student   perfect score   entrance exam  hikers kusakabe,   band  popular among girls, would  never crossed paths.  one day  started talking   practice   school’s upcoming chorus festival.  school,  two meet regularly,  hikers helps rito  improve  singing skills.   listen   other’s voice  harmonize,  hearts start  beat together.","Romance, Animation"
Princess Mononoke,"ashitaka,  prince   disappearing rekishi people,  cursed   demonized boar god  must journey   west  find  cure. along  way,  encounters san,  young human woman fighting  protect  forest,  lady joshi,   trying  destroy it. ashitaka must find  way  bring balance   conflict.","Adventure, Fantasy, Animation"
Back to the Future,"eighties teenager party fly  accidentally sent back  time  1955, inadvertently disrupting  parents' first meeting  attracting  mother's romantic interest. party must repair  damage  history  reminding  parents' romance  -   help   eccentric inventor friend doc brown - return  1985.","Adventure, Comedy, Science Fiction"
The Wild Robot,"  shipwreck,  intelligent robot called row  stranded   uninhabited island.  survive  harsh environment, row bonds   island's animals  cares   orphaned baby goose.","Animation, Science Fiction, Family"
"Josee, the Tiger and the Fish"," dreams  diving abroad, tune gets  job assisting jose,  artist whose imagination takes  far beyond  wheelchair.    tide turns  them,  push    places  never thought possible,  inspire  love fit   storybook.","Animation, Drama, Romance"
A Brighter Summer Day," boy experiences first love, friendships  injustices growing   1960s taiwan.","Crime, Drama, Romance"
Perfect Blue,"encouraged   managers, rising pop star mma takes   recurring role   popular tv show,  suddenly  handlers  collaborators begin turning  murdered.","Animation, Thriller"
Ikiru,"kanji wannabe   middle-aged man   worked    monotonous bureaucratic position  decades. learning   cancer,  starts  look   meaning   life.",Drama
Dead Poets Society,"  elite, old-fashioned boarding school  new england,  passionate english teacher inspires  students  rebel  convention  seize  potential  every day, courting  disdain   stern headmaster.",Drama
Léon: The Professional,"léon,  top hit man  new york,  earned  rep   effective ""cleaner"".    next-door neighbors  wiped    loose-cannon dea agent,  becomes  unwilling custodian  12-year-old mathilda.  long, mathilda's thoughts turn  revenge,   considers following  léon's footsteps.","Crime, Drama, Action"
Sunset Boulevard, hack screenwriter writes  screenplay   former silent film star   faded  hollywood obscurity.,Drama
Counterattack,"  hostage rescue mission creates  new enemy, capt. guerrero   elite soldiers must face  ambush   criminal group.","Action, Adventure, Thriller"
The Great Dictator,dictator devoid hynkel tries  expand  empire   poor jewish barber tries  avoid persecution  hynkel's regime.,"Comedy, War"
Violet Evergarden: The Movie,"  world moves    war  technological advances bring changes   life, violet still hopes  see  lost commanding officer again.","Animation, Fantasy, Romance, Drama"
Dedicated to my ex," film tells  story  ariel,  21-year-old  decides  form  rock band  compete   prize  ten thousand dollars   musical band contest,    last option  trying  get money  save  relationship  reunite   ex-girlfriend,  breaks due   trip  must make  finland   internship. ariel   friend omega, decides  make  casting  find   members   band, although    know nothing  music, thus forming  band  members   diverse  opposite personalities.","Drama, Comedy"
We All Loved Each Other So Much,"three partisans bound   strong friendship return home   war,   clash  everyday reality puts  strain   bond.","Drama, Comedy"
Once Upon a Time in the West,"  railroad builders advance unstoppable   arizona desert   way   sea, jill arrives   small town  flagstone   intention  starting  new life.","Drama, Western"
Given,"hari secretly  feelings  akihiko  years,  akihiko  still   relationship   roommate,  violinist gets mural. hari, akihiko,  gets's love clashes  starts  move forward.","Animation, Drama, Music, Romance"
Modern Times," bubbling trump desires  build  home   young woman, yet  thwarted time  time    lack  experience  habit     wrong place   wrong time..","Comedy, Drama, Romance"
Hotarubi no Mori e,"one hot summer day  little girl gets lost   enchanted forest   mountain god  spirits reside.  young boy appears  her,   cannot touch   fear  making  disappear.    wondrous adventure awaits...","Romance, Animation, Fantasy"
Once Upon a Studio,"created  disney's 100th anniversary,  short features mickey mouse corralling  gallery  legendary disney characters   group photo.","Animation, Family, Fantasy, Comedy"
The Intouchables, true story  two men   never  met –  quadriplegic aristocrat   injured   paragliding accident   young man   projects.,"Drama, Comedy"
It's a Wonderful Life," holiday favourite  generations... george bailey  spent  entire life giving   people   falls.   prevents rich skinflint mr. potter  taking   entire town  george's modest building  loan company.   christmas eve  business's $8,000  lost  george's troubles begin.","Drama, Family, Fantasy"
Apocalypse Now,"  height   vietnam war, captain benjamin wizard  sent   dangerous mission that, officially, ""does  exist,    ever exist.""  goal   locate -  eliminate -  mysterious green beret colonel named walter kurt,    leading  personal army  illegal guerrilla missions  enemy territory.","Drama, War"
Neon Genesis Evangelion: The End of Evangelion,"stele orders  all-out attack  nerve, aiming  destroy  eva  geno  advance   plans   human instrumentalist project. hindi  pushed   limits   sanity    forced  decide  fate  humanity.","Animation, Science Fiction, Action, Drama"
City Lights, trump falls  love   beautiful blind flower girl.  on-and-off friendship   wealthy man allows     girl's benefactor  suitor.,"Comedy, Drama, Romance"
Paths of Glory, commanding officer defends three scapegoats  trial   failed offensive  occurred within  french army  1916.,"War, Drama"
The Lion King,"young lion prince simbad, eager  one day become king   pride lands, grows    watchful eye   father mucosa;     villainous uncle scar conspire  take  throne  himself. amid betrayal  tragedy, simbad must confront  past  find  rightful place   circle  life.","Family, Animation, Drama, Fantasy, Adventure"
Miracle in Cell No. 7,"separated   daughter,  father   intellectual disability must prove  innocence    jailed   death   commander's child.",Drama
Le Trou,"four prison inmates   hatching  plan  literally dig   jail  another prisoner, claude bastard,  moved   cell.  take  risk  share  plan   newcomer.   course  three days,  prisoners  friends break   concrete floor using  bed post  begin  make  way   sewer system -- yet  escape  anything  assured.","Drama, Thriller, Crime"
Oldboy,"  clue   came   imprisoned, drugged  tortured  15 years,  desperate man seeks revenge   captors.","Drama, Thriller, Mystery, Action"
Rascal Does Not Dream of a Dreaming Girl," fujisawa, sakura azusagawa    second year  high school. blissful days   girlfriend  upperclassman, mai sakurajima,  interrupted   appearance   first crush, shook makinohara.","Animation, Romance, Drama, Fantasy"
The Legend of 1900," story   virtuoso piano player  lives  entire life aboard  ocean liner. born  raised   ship, 1900 learned   outside world  interactions  passengers, never setting foot  land, even   love   life. years later,  ship may  destroyed,   former band member fears  1900 may still  aboard, willing  go    ship.","Drama, Music"
I Want to Eat Your Pancreas,"  classmate  crush  diagnosed   pancreatic disease,  average high schooner sets   make     final days.","Animation, Drama, Romance"
Clouds,"young musician zach sobiech discovers  cancer  spread, leaving     months  live.  limited time,  follows  dream  makes  album, unaware    soon   viral music phenomenon.","Music, Drama, Romance"
Life in a Year," 17 year old finds    girlfriend  dying,   sets   give   entire life,   last year   left.","Drama, Romance"
Taylor Swift: Reputation Stadium Tour,"taylor swift takes  stage  dallas   reputation stadium tour  celebrates  monumental night  music, memories  visual magic.",Music
